Month	WeekOfMonth	DayOfWeek	Make	AccidentArea	DayOfWeekClaimed	MonthClaimed	WeekOfMonthClaimed	Sex	MaritalStatus	Age	Fault	PolicyType	VehicleCategory	VehiclePrice	FraudFound	PolicyNumber	RepNumber	Deductible	DriverRating	Days:Policy-Accident	Days:Policy-Claim	PastNumberOfClaims	AgeOfVehicle	AgeOfPolicyHolder	PoliceReportFiled	WitnessPresent	AgentType	NumberOfSuppliments	AddressChange-Claim	NumberOfCars	Year	BasePolicy
Mar	1	Thursday	Toyota	Urban	Thursday	Mar	1	Male	Single	30	Third Party	Sedan - Liability	Sport	"30,000 to 39,000"	No	507	13	400	1	more than 30	more than 30	2 to 4	6 years	31 to 35	No	No	External	more than 5	no change	1 vehicle	1994	Liability
Mar	1	Tuesday	Toyota	Urban	Thursday	Mar	1	Male	Married	42	Third Party	Sedan - All Perils	Sedan	"less than 20,000"	No	508	5	400	2	more than 30	more than 30	none	more than 7	36 to 40	No	No	External	none	no change	1 vehicle	1994	All Perils
Jan	2	Sunday	Toyota	Rural	Thursday	Jan	3	Male	Single	36	Policy Holder	Sedan - All Perils	Sedan	"less than 20,000"	Yes	509	1	400	4	more than 30	more than 30	none	6 years	36 to 40	No	No	External	none	no change	1 vehicle	1994	All Perils
Jan	2	Sunday	Ford	Rural	Tuesday	Jan	2	Male	Married	39	Third Party	Sedan - Liability	Sport	"40,000 to 59,000"	No	510	12	400	3	more than 30	more than 30	more than 4	more than 7	36 to 40	No	No	Internal	3 to 5	no change	1 vehicle	1994	Liability
Feb	3	Saturday	Toyota	Urban	Monday	Feb	3	Male	Single	22	Policy Holder	Sedan - All Perils	Sedan	"20,000 to 29,000"	No	511	12	400	2	more than 30	more than 30	more than 4	3 years	26 to 30	No	No	External	1 to 2	2 to 3 years	1 vehicle	1994	All Perils
Feb	3	Friday	Toyota	Urban	Wednesday	Feb	4	Female	Married	46	Policy Holder	Sedan - Liability	Sport	"30,000 to 39,000"	No	512	13	400	1	more than 30	more than 30	2 to 4	more than 7	41 to 50	No	No	External	more than 5	no change	1 vehicle	1994	Liability
Feb	3	Thursday	Pontiac	Rural	Friday	Feb	3	Male	Married	30	Third Party	Sedan - Collision	Sedan	"20,000 to 29,000"	No	513	2	400	3	more than 30	more than 30	2 to 4	6 years	31 to 35	No	No	External	3 to 5	no change	1 vehicle	1994	Collision
Feb	3	Friday	Toyota	Urban	Friday	Feb	3	Male	Married	58	Policy Holder	Sedan - Liability	Sport	"30,000 to 39,000"	No	514	7	400	4	more than 30	more than 30	more than 4	more than 7	51 to 65	No	No	External	3 to 5	no change	1 vehicle	1994	Liability
Apr	1	Saturday	Honda	Urban	Monday	Apr	1	Male	Married	46	Third Party	Sedan - Liability	Sport	"20,000 to 29,000"	No	515	14	400	1	more than 30	more than 30	more than 4	7 years	41 to 50	No	No	External	1 to 2	no change	1 vehicle	1994	Liability
Apr	1	Saturday	Pontiac	Urban	Wednesday	Apr	1	Male	Married	71	Policy Holder	Sedan - All Perils	Sedan	"20,000 to 29,000"	No	516	12	400	4	more than 30	more than 30	2 to 4	7 years	over 65	No	No	External	more than 5	no change	1 vehicle	1994	All Perils
Feb	4	Monday	Pontiac	Urban	Tuesday	Feb	4	Male	Single	42	Policy Holder	Sedan - Collision	Sedan	"30,000 to 39,000"	No	517	11	400	1	more than 30	more than 30	2 to 4	6 years	36 to 40	No	No	External	none	no change	1 vehicle	1994	Collision
Feb	1	Thursday	Pontiac	Rural	Friday	Feb	1	Male	Married	52	Policy Holder	Sedan - Collision	Sedan	"20,000 to 29,000"	No	518	13	400	4	more than 30	more than 30	none	more than 7	41 to 50	No	No	External	more than 5	no change	1 vehicle	1994	Collision
Feb	1	Tuesday	Pontiac	Urban	Tuesday	Feb	1	Male	Married	53	Policy Holder	Sedan - Liability	Sport	"20,000 to 29,000"	No	519	3	400	3	more than 30	more than 30	2 to 4	more than 7	41 to 50	No	No	External	none	no change	1 vehicle	1994	Liability
Jan	4	Monday	Toyota	Rural	Thursday	Feb	4	Male	Married	58	Policy Holder	Sedan - Collision	Sedan	"less than 20,000"	No	520	8	400	4	more than 30	more than 30	1	more than 7	51 to 65	No	No	External	none	no change	1 vehicle	1994	Collision
Jan	4	Thursday	Pontiac	Urban	Friday	Jan	5	Male	Married	33	Third Party	Sedan - All Perils	Sedan	"less than 20,000"	No	521	5	400	1	more than 30	more than 30	none	7 years	31 to 35	No	No	External	more than 5	no change	1 vehicle	1994	All Perils
Jan	5	Friday	Honda	Urban	Friday	Jan	5	Male	Single	0	Policy Holder	Sedan - Liability	Sport	"more than 69,000"	No	522	15	400	2	more than 30	more than 30	none	new	16 to 17	No	No	External	none	no change	1 vehicle	1994	Liability
Jan	2	Monday	Chevrolet	Urban	Tuesday	Jan	4	Male	Married	37	Policy Holder	Sedan - Liability	Sport	"20,000 to 29,000"	Yes	523	13	400	2	more than 30	more than 30	2 to 4	more than 7	36 to 40	No	No	External	1 to 2	no change	1 vehicle	1994	Liability
Feb	1	Wednesday	Chevrolet	Urban	Wednesday	Feb	1	Male	Married	53	Policy Holder	Sedan - Collision	Sedan	"30,000 to 39,000"	No	524	14	400	3	more than 30	more than 30	1	more than 7	41 to 50	No	No	External	none	no change	1 vehicle	1994	Collision
Feb	1	Friday	Mazda	Urban	Friday	Feb	1	Female	Married	41	Policy Holder	Sedan - Liability	Sport	"20,000 to 29,000"	No	525	3	400	2	more than 30	more than 30	none	7 years	36 to 40	No	No	External	more than 5	no change	1 vehicle	1994	Liability
Feb	2	Monday	Mazda	Urban	Tuesday	Feb	2	Male	Married	51	Policy Holder	Sedan - Collision	Sedan	"less than 20,000"	No	526	11	400	2	more than 30	more than 30	none	more than 7	41 to 50	No	No	External	1 to 2	4 to 8 years	2 vehicles	1994	Collision
Feb	2	Wednesday	Honda	Urban	Friday	Feb	2	Male	Married	41	Third Party	Sedan - Collision	Sedan	"less than 20,000"	No	527	10	400	1	more than 30	more than 30	none	7 years	36 to 40	No	No	External	none	no change	1 vehicle	1994	Collision
Feb	2	Saturday	Honda	Urban	Wednesday	Feb	3	Male	Married	34	Third Party	Sedan - All Perils	Sedan	"20,000 to 29,000"	No	528	13	400	1	more than 30	more than 30	1	5 years	31 to 35	No	No	External	none	no change	1 vehicle	1994	All Perils
Jan	2	Monday	Mazda	Rural	Tuesday	Jan	2	Male	Married	39	Policy Holder	Sedan - Collision	Sedan	"40,000 to 59,000"	Yes	529	15	400	4	more than 30	more than 30	1	7 years	36 to 40	No	No	External	3 to 5	no change	1 vehicle	1994	Collision
Jan	2	Thursday	Ford	Urban	Thursday	Jan	4	Male	Married	49	Policy Holder	Sedan - Liability	Sport	"40,000 to 59,000"	No	530	16	400	4	more than 30	more than 30	more than 4	more than 7	41 to 50	No	No	External	none	no change	1 vehicle	1994	Liability
Feb	1	Friday	Pontiac	Urban	Tuesday	Feb	2	Male	Single	30	Policy Holder	Sedan - Liability	Sport	"30,000 to 39,000"	No	531	7	400	4	more than 30	more than 30	1	6 years	31 to 35	No	No	External	more than 5	no change	1 vehicle	1994	Liability
Feb	1	Saturday	Toyota	Urban	Tuesday	Feb	2	Male	Married	61	Policy Holder	Sedan - Collision	Sedan	"20,000 to 29,000"	No	532	2	400	1	more than 30	more than 30	none	more than 7	51 to 65	No	No	External	1 to 2	no change	1 vehicle	1994	Collision
Feb	2	Wednesday	Pontiac	Urban	Friday	Feb	3	Male	Married	51	Third Party	Sedan - All Perils	Sedan	"20,000 to 29,000"	No	533	1	400	4	more than 30	more than 30	none	more than 7	41 to 50	No	No	External	none	no change	1 vehicle	1994	All Perils
Jan	2	Monday	Pontiac	Urban	Friday	Jan	3	Male	Married	33	Policy Holder	Sedan - Collision	Sedan	"20,000 to 29,000"	Yes	534	7	400	3	more than 30	more than 30	2 to 4	5 years	31 to 35	No	No	External	1 to 2	no change	3 to 4	1994	Collision
Feb	2	Sunday	Pontiac	Urban	Monday	Feb	2	Male	Married	80	Third Party	Sedan - All Perils	Sedan	"less than 20,000"	No	535	8	400	2	more than 30	more than 30	1	more than 7	over 65	No	No	External	3 to 5	no change	1 vehicle	1994	All Perils
Feb	3	Saturday	Pontiac	Urban	Monday	Mar	2	Male	Married	61	Policy Holder	Sedan - Collision	Sedan	"20,000 to 29,000"	No	536	1	400	4	more than 30	more than 30	2 to 4	more than 7	51 to 65	No	No	External	1 to 2	no change	1 vehicle	1994	Collision
Jan	2	Monday	Chevrolet	Urban	Wednesday	Jan	3	Male	Married	33	Policy Holder	Sedan - Collision	Sedan	"20,000 to 29,000"	Yes	537	13	400	1	more than 30	more than 30	none	7 years	31 to 35	No	No	External	none	no change	1 vehicle	1994	Collision
Feb	3	Monday	Saab	Urban	Monday	Feb	3	Male	Single	31	Policy Holder	Sedan - Collision	Sedan	"30,000 to 39,000"	No	538	13	400	4	more than 30	more than 30	none	7 years	31 to 35	No	No	External	1 to 2	no change	1 vehicle	1994	Collision
Jan	2	Monday	Honda	Urban	Wednesday	Jan	2	Male	Married	37	Policy Holder	Sedan - All Perils	Sedan	"20,000 to 29,000"	Yes	539	5	400	2	more than 30	more than 30	none	7 years	36 to 40	No	No	External	none	no change	1 vehicle	1994	All Perils
Feb	4	Saturday	Chevrolet	Urban	Wednesday	Mar	2	Male	Married	57	Policy Holder	Sedan - Collision	Sedan	"20,000 to 29,000"	No	540	11	400	3	more than 30	more than 30	2 to 4	7 years	51 to 65	No	No	External	none	no change	1 vehicle	1994	Collision
Feb	4	Monday	Chevrolet	Urban	Friday	Mar	1	Female	Single	32	Policy Holder	Sedan - All Perils	Sedan	"20,000 to 29,000"	No	541	8	400	2	more than 30	more than 30	1	6 years	31 to 35	No	No	External	more than 5	no change	1 vehicle	1994	All Perils
Feb	4	Friday	Chevrolet	Urban	Friday	Feb	4	Male	Married	55	Policy Holder	Sedan - Collision	Sedan	"30,000 to 39,000"	No	542	4	400	3	more than 30	more than 30	2 to 4	7 years	41 to 50	No	No	External	1 to 2	no change	1 vehicle	1994	Collision
Jan	2	Tuesday	Honda	Urban	Friday	Jan	4	Male	Single	0	Policy Holder	Sedan - All Perils	Sedan	"more than 69,000"	Yes	543	12	400	4	more than 30	more than 30	none	new	16 to 17	No	No	External	none	no change	1 vehicle	1994	All Perils
Feb	3	Tuesday	Pontiac	Urban	Friday	Mar	4	Male	Married	38	Policy Holder	Sedan - Liability	Sport	"20,000 to 29,000"	No	544	10	400	4	more than 30	more than 30	2 to 4	7 years	36 to 40	No	No	External	3 to 5	no change	1 vehicle	1994	Liability
Jan	5	Tuesday	Chevrolet	Urban	Friday	Mar	2	Male	Married	49	Policy Holder	Utility - All Perils	Utility	"more than 69,000"	No	545	9	400	3	more than 30	more than 30	1	more than 7	41 to 50	No	No	External	more than 5	no change	1 vehicle	1994	All Perils
Feb	5	Monday	Toyota	Urban	Thursday	Mar	2	Male	Married	50	Third Party	Sedan - Collision	Sedan	"20,000 to 29,000"	No	546	6	400	2	more than 30	more than 30	none	more than 7	41 to 50	No	No	External	none	no change	1 vehicle	1994	Collision
Feb	4	Monday	Chevrolet	Urban	Thursday	Mar	1	Male	Married	48	Third Party	Sedan - Collision	Sedan	"30,000 to 39,000"	No	547	5	400	1	more than 30	more than 30	2 to 4	more than 7	41 to 50	No	No	External	none	1 year	2 vehicles	1994	Collision
Feb	3	Saturday	Toyota	Urban	Thursday	Mar	2	Male	Married	26	Policy Holder	Sedan - All Perils	Sedan	"less than 20,000"	No	548	7	400	1	more than 30	more than 30	1	6 years	31 to 35	No	No	External	3 to 5	no change	1 vehicle	1994	All Perils
Feb	3	Saturday	Toyota	Urban	Friday	Apr	1	Male	Married	46	Policy Holder	Sedan - Liability	Sport	"30,000 to 39,000"	No	549	8	400	1	more than 30	more than 30	2 to 4	more than 7	41 to 50	No	No	External	3 to 5	no change	1 vehicle	1994	Liability
Feb	4	Monday	Honda	Urban	Wednesday	Feb	4	Male	Single	0	Policy Holder	Sedan - Liability	Sport	"more than 69,000"	No	550	6	400	2	more than 30	more than 30	none	new	16 to 17	No	No	External	none	no change	1 vehicle	1994	Liability
Feb	3	Monday	Chevrolet	Urban	Tuesday	Feb	4	Male	Married	64	Policy Holder	Sedan - All Perils	Sedan	"20,000 to 29,000"	No	551	7	400	4	8 to 15	15 to 30	none	more than 7	51 to 65	No	No	External	none	no change	1 vehicle	1994	All Perils
Feb	2	Saturday	Pontiac	Rural	Tuesday	Feb	4	Male	Married	72	Third Party	Sedan - All Perils	Sedan	"20,000 to 29,000"	No	552	16	400	2	more than 30	more than 30	2 to 4	more than 7	over 65	No	No	External	more than 5	no change	1 vehicle	1994	All Perils
Feb	2	Wednesday	VW	Urban	Thursday	Feb	2	Male	Married	51	Third Party	Sedan - Liability	Sport	"more than 69,000"	No	553	13	400	2	more than 30	more than 30	more than 4	more than 7	41 to 50	No	No	External	3 to 5	no change	1 vehicle	1994	Liability
Feb	1	Sunday	VW	Rural	Wednesday	Feb	2	Male	Single	64	Policy Holder	Sedan - All Perils	Sedan	"more than 69,000"	No	554	7	400	3	more than 30	more than 30	none	more than 7	51 to 65	No	No	External	1 to 2	no change	1 vehicle	1994	All Perils
Feb	1	Sunday	Mazda	Urban	Tuesday	Feb	2	Male	Married	47	Policy Holder	Sedan - Collision	Sedan	"20,000 to 29,000"	No	555	3	400	3	more than 30	more than 30	none	7 years	41 to 50	No	No	External	none	no change	1 vehicle	1994	Collision
Feb	1	Tuesday	Accura	Urban	Tuesday	Feb	3	Male	Married	26	Policy Holder	Sedan - All Perils	Sedan	"30,000 to 39,000"	No	556	16	400	2	more than 30	more than 30	2 to 4	7 years	31 to 35	No	No	External	none	no change	1 vehicle	1994	All Perils
Jan	2	Wednesday	Pontiac	Urban	Monday	Jan	4	Male	Married	29	Policy Holder	Sedan - All Perils	Sedan	"20,000 to 29,000"	Yes	557	5	400	3	more than 30	more than 30	none	6 years	31 to 35	No	No	External	none	no change	1 vehicle	1994	All Perils
Jan	5	Monday	Honda	Urban	Tuesday	Feb	1	Male	Married	31	Policy Holder	Sport - Collision	Sport	"more than 69,000"	No	558	1	400	1	more than 30	more than 30	none	5 years	31 to 35	No	No	External	none	no change	1 vehicle	1994	Collision
Jan	4	Thursday	Toyota	Urban	Monday	Feb	3	Female	Married	38	Policy Holder	Sedan - All Perils	Sedan	"less than 20,000"	No	559	6	700	3	more than 30	more than 30	none	7 years	36 to 40	No	No	External	3 to 5	no change	1 vehicle	1994	All Perils
Jan	4	Wednesday	VW	Urban	Monday	Feb	2	Male	Married	42	Third Party	Sedan - Collision	Sedan	"30,000 to 39,000"	No	560	2	400	2	more than 30	more than 30	1	7 years	36 to 40	No	No	Internal	more than 5	no change	1 vehicle	1994	Collision
Nov	5	Tuesday	Mazda	Urban	Tuesday	Feb	1	Female	Married	38	Third Party	Sedan - All Perils	Sedan	"less than 20,000"	No	561	13	400	4	more than 30	more than 30	none	7 years	36 to 40	No	No	External	1 to 2	no change	1 vehicle	1994	All Perils
Apr	1	Saturday	Pontiac	Urban	Wednesday	May	1	Male	Single	28	Policy Holder	Sedan - Collision	Sedan	"less than 20,000"	No	562	5	500	2	more than 30	more than 30	2 to 4	6 years	31 to 35	No	No	External	1 to 2	2 to 3 years	1 vehicle	1994	Collision
Apr	1	Saturday	Pontiac	Urban	Wednesday	Apr	1	Male	Married	37	Third Party	Sedan - All Perils	Sedan	"20,000 to 29,000"	No	563	6	400	4	more than 30	more than 30	none	more than 7	36 to 40	No	No	External	none	no change	1 vehicle	1994	All Perils
Aug	3	Friday	Toyota	Urban	Tuesday	Aug	4	Male	Married	29	Policy Holder	Sedan - Collision	Sedan	"30,000 to 39,000"	No	564	13	400	4	more than 30	more than 30	1	7 years	31 to 35	No	No	External	more than 5	no change	1 vehicle	1994	Collision
Jan	2	Thursday	Toyota	Urban	Thursday	Jan	2	Male	Married	51	Policy Holder	Sedan - Collision	Sedan	"20,000 to 29,000"	Yes	565	9	400	1	more than 30	more than 30	2 to 4	more than 7	41 to 50	No	No	External	none	no change	1 vehicle	1994	Collision
Jul	1	Friday	Pontiac	Rural	Monday	Jul	1	Female	Widow	56	Policy Holder	Sedan - Collision	Sedan	"20,000 to 29,000"	No	566	5	400	1	more than 30	more than 30	1	7 years	51 to 65	No	No	External	more than 5	no change	1 vehicle	1994	Collision
Dec	1	Monday	Pontiac	Urban	Monday	Dec	2	Male	Married	27	Policy Holder	Sedan - All Perils	Sedan	"20,000 to 29,000"	No	567	4	400	2	more than 30	more than 30	none	7 years	31 to 35	No	No	External	none	no change	1 vehicle	1994	All Perils
Oct	1	Sunday	Toyota	Urban	Tuesday	Oct	4	Male	Married	80	Policy Holder	Sedan - All Perils	Sedan	"less than 20,000"	No	568	9	400	2	more than 30	more than 30	none	more than 7	over 65	No	No	External	more than 5	4 to 8 years	2 vehicles	1994	All Perils
Aug	4	Tuesday	Pontiac	Urban	Friday	Aug	4	Female	Single	33	Third Party	Sedan - All Perils	Sedan	"20,000 to 29,000"	No	569	5	400	2	more than 30	more than 30	none	6 years	31 to 35	No	No	External	1 to 2	no change	1 vehicle	1994	All Perils
Mar	2	Thursday	Honda	Urban	Thursday	Mar	2	Male	Married	50	Policy Holder	Sedan - Collision	Sedan	"20,000 to 29,000"	No	570	4	400	3	more than 30	more than 30	2 to 4	more than 7	41 to 50	No	No	External	1 to 2	no change	1 vehicle	1994	Collision
Mar	4	Tuesday	Pontiac	Urban	Thursday	Mar	4	Female	Married	45	Third Party	Sedan - All Perils	Sedan	"20,000 to 29,000"	No	571	5	400	4	more than 30	more than 30	1	5 years	36 to 40	No	No	External	3 to 5	no change	1 vehicle	1994	All Perils
Mar	3	Monday	Pontiac	Urban	Tuesday	Apr	3	Male	Married	26	Policy Holder	Sedan - Collision	Sedan	"20,000 to 29,000"	No	572	15	400	3	more than 30	more than 30	none	6 years	31 to 35	No	No	External	none	no change	1 vehicle	1994	Collision
May	4	Wednesday	Mazda	Urban	Tuesday	May	5	Male	Married	33	Policy Holder	Sedan - All Perils	Sedan	"30,000 to 39,000"	No	573	11	400	4	more than 30	more than 30	none	6 years	31 to 35	No	No	External	none	no change	1 vehicle	1994	All Perils
Apr	4	Tuesday	Honda	Rural	Tuesday	Apr	4	Male	Married	64	Policy Holder	Sedan - All Perils	Sedan	"20,000 to 29,000"	No	574	2	400	2	more than 30	more than 30	1	7 years	51 to 65	No	No	External	1 to 2	no change	1 vehicle	1994	All Perils
Oct	3	Thursday	Pontiac	Urban	Monday	Oct	4	Male	Married	27	Policy Holder	Sedan - Collision	Sedan	"20,000 to 29,000"	No	575	12	400	3	more than 30	more than 30	1	7 years	31 to 35	No	No	External	3 to 5	no change	3 to 4	1994	Collision
Sep	4	Friday	Mazda	Urban	Friday	Sep	4	Male	Single	33	Policy Holder	Sedan - All Perils	Sedan	"20,000 to 29,000"	No	576	8	400	3	more than 30	more than 30	none	6 years	31 to 35	No	No	External	none	no change	1 vehicle	1994	All Perils
Aug	3	Monday	Honda	Urban	Tuesday	Aug	3	Male	Single	23	Policy Holder	Sedan - Collision	Sedan	"20,000 to 29,000"	No	577	3	400	3	more than 30	more than 30	none	5 years	26 to 30	No	No	External	none	no change	1 vehicle	1994	Collision
Apr	2	Monday	Mazda	Urban	Monday	Apr	2	Male	Married	36	Policy Holder	Sedan - Liability	Sport	"20,000 to 29,000"	No	578	10	400	2	more than 30	more than 30	none	6 years	36 to 40	No	No	External	none	no change	1 vehicle	1994	Liability
Jun	2	Friday	Mazda	Rural	Wednesday	Jun	3	Male	Married	52	Policy Holder	Sedan - Collision	Sedan	"20,000 to 29,000"	No	579	7	400	3	more than 30	more than 30	1	more than 7	41 to 50	No	No	External	more than 5	no change	1 vehicle	1994	Collision
Jun	2	Saturday	Toyota	Urban	Wednesday	Jun	5	Male	Married	44	Third Party	Sedan - All Perils	Sedan	"less than 20,000"	No	580	5	400	4	more than 30	more than 30	none	7 years	36 to 40	No	No	External	none	no change	1 vehicle	1994	All Perils
Jun	1	Wednesday	Pontiac	Urban	Friday	Jun	1	Male	Married	65	Third Party	Sedan - Liability	Sport	"20,000 to 29,000"	No	581	7	400	3	more than 30	more than 30	2 to 4	6 years	51 to 65	No	No	External	none	no change	1 vehicle	1994	Liability
Oct	2	Tuesday	Pontiac	Urban	Thursday	Oct	3	Male	Married	45	Third Party	Sedan - Liability	Sport	"30,000 to 39,000"	No	582	4	400	1	more than 30	more than 30	1	7 years	36 to 40	No	No	External	1 to 2	no change	1 vehicle	1994	Liability
Oct	2	Tuesday	Toyota	Urban	Thursday	Nov	3	Male	Married	40	Policy Holder	Sedan - Collision	Sedan	"30,000 to 39,000"	No	583	14	400	2	more than 30	more than 30	none	7 years	36 to 40	No	No	External	none	no change	1 vehicle	1994	Collision
Jul	4	Saturday	Pontiac	Urban	Monday	Jul	4	Male	Single	29	Policy Holder	Sedan - Collision	Sedan	"20,000 to 29,000"	No	584	5	400	1	more than 30	more than 30	2 to 4	6 years	31 to 35	No	No	External	none	no change	1 vehicle	1994	Collision
Jun	4	Tuesday	Chevrolet	Urban	Friday	Jun	4	Male	Single	24	Third Party	Sedan - Collision	Sedan	"20,000 to 29,000"	No	585	13	400	2	more than 30	more than 30	1	5 years	26 to 30	No	No	External	none	no change	1 vehicle	1994	Collision
Apr	4	Saturday	Chevrolet	Urban	Wednesday	May	1	Female	Married	50	Policy Holder	Sedan - Liability	Sport	"20,000 to 29,000"	No	586	7	400	3	more than 30	more than 30	more than 4	more than 7	41 to 50	No	No	External	none	no change	1 vehicle	1994	Liability
Aug	2	Saturday	Pontiac	Urban	Sunday	Aug	4	Male	Married	38	Third Party	Sedan - All Perils	Sedan	"20,000 to 29,000"	No	587	13	400	4	more than 30	more than 30	1	7 years	36 to 40	No	No	External	more than 5	no change	1 vehicle	1994	All Perils
Jul	4	Monday	Pontiac	Urban	Tuesday	Aug	1	Male	Married	51	Policy Holder	Sedan - All Perils	Sedan	"30,000 to 39,000"	No	588	15	400	1	more than 30	more than 30	none	6 years	41 to 50	No	No	External	none	no change	1 vehicle	1994	All Perils
Jun	4	Friday	Mazda	Urban	Thursday	Jun	5	Male	Single	35	Third Party	Sedan - Collision	Sedan	"20,000 to 29,000"	No	589	2	400	2	more than 30	more than 30	none	7 years	31 to 35	No	No	External	1 to 2	4 to 8 years	2 vehicles	1994	Collision
Sep	1	Tuesday	Toyota	Urban	Thursday	Sep	2	Male	Married	41	Policy Holder	Sedan - Collision	Sedan	"less than 20,000"	No	590	9	700	2	more than 30	more than 30	none	7 years	36 to 40	No	No	External	none	no change	1 vehicle	1994	Collision
Sep	4	Saturday	Chevrolet	Urban	Wednesday	Sep	5	Male	Married	28	Third Party	Sedan - Collision	Sedan	"20,000 to 29,000"	No	591	14	400	4	more than 30	more than 30	2 to 4	6 years	31 to 35	No	No	External	more than 5	no change	1 vehicle	1994	Collision
Sep	2	Friday	Mazda	Urban	Sunday	Sep	2	Male	Single	27	Third Party	Sport - Collision	Sport	"more than 69,000"	No	592	10	400	3	more than 30	more than 30	none	2 years	31 to 35	No	No	External	none	no change	1 vehicle	1994	Collision
Jan	3	Friday	Toyota	Urban	Tuesday	Jan	4	Male	Single	26	Third Party	Sedan - All Perils	Sedan	"20,000 to 29,000"	No	593	12	400	1	more than 30	more than 30	1	7 years	31 to 35	No	No	External	none	no change	1 vehicle	1994	All Perils
Nov	3	Monday	Honda	Urban	Tuesday	Nov	3	Male	Married	44	Policy Holder	Sedan - Collision	Sedan	"20,000 to 29,000"	No	594	5	400	1	more than 30	more than 30	none	7 years	36 to 40	No	No	External	more than 5	no change	1 vehicle	1994	Collision
Jul	2	Tuesday	Mazda	Urban	Wednesday	Jul	2	Female	Married	26	Policy Holder	Sedan - Liability	Sport	"20,000 to 29,000"	No	595	5	400	3	more than 30	more than 30	none	6 years	31 to 35	No	No	External	1 to 2	no change	1 vehicle	1994	Liability
Jul	2	Monday	Ford	Urban	Monday	Jul	2	Male	Married	34	Policy Holder	Sedan - Collision	Sedan	"30,000 to 39,000"	No	596	5	400	1	more than 30	more than 30	2 to 4	7 years	31 to 35	No	No	External	1 to 2	no change	1 vehicle	1994	Collision
Jun	3	Friday	Mazda	Urban	Monday	Jun	3	Male	Married	30	Policy Holder	Sedan - Collision	Sedan	"20,000 to 29,000"	No	597	10	400	4	more than 30	more than 30	1	6 years	31 to 35	No	No	External	1 to 2	no change	1 vehicle	1994	Collision
Jun	3	Friday	Mazda	Urban	Wednesday	Jun	4	Male	Married	33	Third Party	Sedan - Collision	Sedan	"20,000 to 29,000"	No	598	12	400	1	more than 30	more than 30	1	6 years	31 to 35	No	No	External	more than 5	no change	1 vehicle	1994	Collision
Aug	4	Friday	Toyota	Urban	Friday	Sep	1	Male	Married	26	Policy Holder	Sedan - Collision	Sedan	"20,000 to 29,000"	No	599	16	400	4	more than 30	more than 30	none	7 years	31 to 35	No	No	External	none	no change	1 vehicle	1994	Collision
Nov	1	Thursday	Pontiac	Rural	Friday	Nov	1	Female	Married	36	Policy Holder	Sedan - Collision	Sedan	"20,000 to 29,000"	No	600	2	400	3	more than 30	more than 30	2 to 4	more than 7	36 to 40	No	No	External	3 to 5	no change	1 vehicle	1994	Collision
Sep	5	Friday	Mazda	Rural	Friday	Sep	5	Male	Married	26	Policy Holder	Sedan - Liability	Sport	"20,000 to 29,000"	No	601	3	400	3	more than 30	more than 30	more than 4	7 years	31 to 35	No	No	External	none	no change	1 vehicle	1994	Liability
Jul	2	Sunday	Toyota	Urban	Monday	Jul	2	Male	Single	30	Policy Holder	Sedan - Collision	Sedan	"30,000 to 39,000"	No	602	12	400	1	more than 30	more than 30	1	6 years	31 to 35	No	No	External	none	no change	1 vehicle	1994	Collision
Jun	4	Saturday	Pontiac	Urban	Wednesday	Jun	5	Male	Married	46	Third Party	Sedan - All Perils	Sedan	"30,000 to 39,000"	No	603	13	400	2	more than 30	more than 30	2 to 4	more than 7	41 to 50	No	No	External	1 to 2	no change	1 vehicle	1994	All Perils
Sep	2	Thursday	Chevrolet	Urban	Friday	Sep	2	Male	Married	32	Policy Holder	Sedan - Liability	Sport	"more than 69,000"	No	604	14	400	4	more than 30	more than 30	none	7 years	31 to 35	No	No	External	none	no change	1 vehicle	1994	Liability
Dec	3	Monday	Accura	Urban	Tuesday	Dec	3	Male	Single	28	Policy Holder	Sedan - All Perils	Sedan	"20,000 to 29,000"	No	605	16	400	2	more than 30	more than 30	1	7 years	31 to 35	No	No	External	none	no change	1 vehicle	1994	All Perils
Jul	4	Monday	Mazda	Urban	Tuesday	Jul	4	Male	Married	64	Third Party	Sedan - All Perils	Sedan	"20,000 to 29,000"	No	606	8	400	2	more than 30	more than 30	1	more than 7	51 to 65	No	No	External	1 to 2	no change	1 vehicle	1994	All Perils
Jan	3	Saturday	Pontiac	Urban	Monday	Jan	3	Male	Single	22	Policy Holder	Sedan - All Perils	Sedan	"less than 20,000"	Yes	607	4	400	1	more than 30	more than 30	2 to 4	5 years	26 to 30	No	No	External	none	no change	1 vehicle	1994	All Perils
Nov	3	Friday	Honda	Urban	Wednesday	Nov	4	Male	Single	35	Policy Holder	Sedan - Liability	Sport	"20,000 to 29,000"	No	608	7	400	4	more than 30	more than 30	1	7 years	31 to 35	No	No	External	more than 5	no change	1 vehicle	1994	Liability
Nov	3	Friday	Pontiac	Urban	Tuesday	Nov	4	Male	Married	33	Third Party	Sedan - All Perils	Sedan	"20,000 to 29,000"	No	609	7	400	1	more than 30	more than 30	none	7 years	31 to 35	No	No	External	1 to 2	no change	1 vehicle	1994	All Perils
Apr	1	Thursday	Pontiac	Rural	Thursday	Apr	1	Male	Married	48	Policy Holder	Sedan - Collision	Sedan	"30,000 to 39,000"	No	610	3	400	2	more than 30	more than 30	more than 4	7 years	41 to 50	No	No	External	none	4 to 8 years	2 vehicles	1994	Collision
